Model,Pixel_Acc,mIoU,Dice,Precision,Recall,Boundary_F1,Parameters,Size_MB,Throughput_ips
kmeans,0.462,0.121,0.198,0.213,0.201,0.088,0,0.0,5.4
fcn,0.847,0.492,0.612,0.622,0.611,0.415,32957152,126.1,24.3
unet,0.869,0.537,0.658,0.664,0.652,0.462,17263686,65.9,36.4
unetpp,0.878,0.561,0.681,0.688,0.674,0.489,26900934,102.6,21.7
segnet,0.842,0.478,0.601,0.612,0.596,0.407,29459782,112.4,31.8
deeplabv3,0.902,0.612,0.727,0.732,0.72,0.548,39633190,151.5,18.9
pspnet,0.895,0.594,0.712,0.719,0.707,0.533,46658374,178.1,17.1
segformer,0.913,0.638,0.751,0.756,0.746,0.579,3714546,14.3,42.2
